"Project","Status","ExitCode","DurationSeconds","Output"
"OnnxWithKernel\11.03 OnnxWithKernel.csproj","TimedOut",,"12,3","=== ONNX with Kernel and Invoke ===
RESPONSE: Unhandled exception. Microsoft.ML.OnnxRuntimeGenAI.OnnxRuntimeGenAIException: Error opening c:\Temp\LLMs\ONNX\phi-3.5-mini-instruct\cpu_and_mobile\cpu-int4-awq-block-128-acc-level-4\genai_config.json
   at Microsoft.ML.OnnxRuntimeGenAI.Model..ctor(String modelPath)
   at Microsoft.ML.OnnxRuntimeGenAI.OnnxRuntimeGenAIChatClient..ctor(String modelPath, OnnxRuntimeGenAIChatClientOptions options)
   at Microsoft.SemanticKernel.Connectors.Onnx.OnnxRuntimeGenAIChatCompletionService.GetChatCompletionService()
   at Microsoft.SemanticKernel.Connectors.Onnx.OnnxRuntimeGenAIChatCompletionService.GetStreamingChatMessageContentsAsync(ChatHistory chatHistory, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.ChatCompletion.ChatCompletionServiceExtensions.GetStreamingChatMessageContentsAsync(IChatCompletionService chatCompletionService, String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeStreamingCoreAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeStreamingCoreAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OnnxWithKernel\Program.cs:line 49
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OnnxWithKernel\Program.cs:line 49
   at Program.<Main>(String[] args)"
"OnnxWithKernelAndChatHistory\11.04 OnnxWithKernelAndChatHistory.csproj","TimedOut",,"12,4",""
"OpenAIAssistantAgent\12.10 OpenAIAssistantAgent.csproj","TimedOut",,"12,1",""
"PluginsWithGrpcFunctions\5.2e PluginsWithGrpcFunctions.csproj","Failed","1","5,2","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\PluginsWithGrpcFunctions\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\PluginsWithGrpcFunctions\5.2e PluginsWithGrpcFunctions.csproj]

The build failed. Fix the build errors and run again."
"OpenAIAssistantAgentFromYaml\12.21 OpenAIAssistantAgentFromYaml.csproj","TimedOut",,"12,9",""
"OpenAIAssistantAgentWithCodeInterpreter\12.11 OpenAIAssistantAgentWithCodeInterpreter.csproj","TimedOut",,"12,2",""
"OpenAIAssistantAgentWithFileSearch\12.13 OpenAIAssistantAgentWithFileSearch.csproj","TimedOut",,"12,2",""
"OpenAIResponseAgent\12.13a OpenAIResponseAgent.csproj","Failed","1","10,7","C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OpenAIResponseAgent\Program.cs(10,18): error CS0246: The type or namespace name 'OpenAIResponseClient' could not be found (are you missing a using directive or an assembly reference?) [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OpenAIResponseAgent\12.13a OpenAIResponseAgent.csproj]

The build failed. Fix the build errors and run again."
"PluginsWithBuiltIn\6.4a PluginsWithBuiltIn.csproj","TimedOut",,"12,1",""
"PluginsWithFunctionChaining\6.3a PluginsWithFunctionChaining.csproj","TimedOut",,"12,3",""
"PluginsWithFunctionNesting\6.3b PluginsWithFunctionNesting.csproj","TimedOut",,"12,1",""
"PluginsWithHybridFunctions\6.2c PluginsWithHybridFunctions.csproj","TimedOut",,"12,2",""
"PluginsWithNativeFunctions\6.2a PluginsWithNativeFunctions.csproj","TimedOut",,"12,3",""
"PluginsWithOpenApiFunctions\6.2d PluginsWithOpenApiFunctions.csproj","TimedOut",,"12,3",""
"PluginsWithSemanticFunctions\6.2b PluginsWithSemanticFunctions.csproj","TimedOut",,"12,3",""
"RAGWithPlugin\10.6xxxxxxxxxxxxxxxx RAGWithInMemoryAndFilter.csproj","Failed","1","6","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithPlugin\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithPlugin\10.6xxxxxxxxxxxxxxxx RAGWithInMemoryAndFilter.csproj]

The build failed. Fix the build errors and run again."
"RAGWithBingExplicitCalling\10.06 RAGWithBingExplicitCalling.csproj","TimedOut",,"13","Assistant > What would you like to know? (hit 'enter' key to end the session)
User >"
"RAGWithBingFunctionCalling\10.06a RAGWithBingFunctionCalling.csproj","TimedOut",,"12,3",""
"RAGWithInMemoryAndFunctionCalling\10.10 RAGWithInMemoryFunctionCalling.csproj","TimedOut",,"12,6",""
"RAGWithInMemoryExplicitCalling\10.09 RAGWithInMemoryExplicitCalling.csproj","TimedOut",,"12,3","Unhandled exception. System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Data'.
   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path, Boolean ignoreNotFound)
   at System.IO.Enumeration.FileSystemEnumerator`1.Init()
   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory, Boolean isNormalized, EnumerationOptions options, String expression)
   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory, FindTransform transform, EnumerationOptions options, Boolean isNormalized, String expression)
   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory, String expression, EnumerationOptions options)
   at System.IO.Directory.InternalEnumeratePaths(String path, String searchPattern, SearchTarget searchTarget, EnumerationOptions enumerationOptions)
   at System.IO.Directory.GetFiles(String path, String searchPattern, EnumerationOptions enumerationOptions)
   at Services.TextLoader.LoadAsync(String txtDirectory) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithInMemoryExplicitCalling\Services\TextLoader.cs:line 11
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithInMemoryExplicitCalling\Program.cs:line 36
   at Program.<Main>(String[] args)"
"RAGWithInMemoryExplicitCallingTextAndPdf\10.13 RAGWithInMemoryExplicitCallingTextAndPdf.csproj","TimedOut",,"12,2","C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithInMemoryExplicitCallingTextAndPdf\10.13 RAGWithInMemoryExplicitCallingTextAndPdf.csproj : warning NU1902: Package 'SharpCompress' 0.30.1 has a known moderate severity vulnerability, https://github.com/advisories/GHSA-6c8g-7p36-r338
C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithInMemoryExplicitCallingTextAndPdf\10.13 RAGWithInMemoryExplicitCallingTextAndPdf.csproj : warning NU1903: Package 'Snappier' 1.0.0 has a known high severity vulnerability, https://github.com/advisories/GHSA-pggp-6c3x-2xmx
C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithServerlessKernelMemory\10.14 RAGWithServerlessKernelMemory.csproj : warning NU1902: Package 'SharpCompress' 0.30.1 has a known moderate severity vulnerability, https://github.com/advisories/GHSA-6c8g-7p36-r338
C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithServerlessKernelMemory\10.14 RAGWithServerlessKernelMemory.csproj : warning NU1903: Package 'Snappier' 1.0.0 has a known high severity vulnerability, https://github.com/advisories/GHSA-pggp-6c3x-2xmx"
"RAGWithPluginKernelMemory\10.15 RAGWithPluginKernelMemory.csproj","TimedOut",,"12,1","C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithPluginKernelMemory\10.15 RAGWithPluginKernelMemory.csproj : warning NU1902: Package 'SharpCompress' 0.30.1 has a known moderate severity vulnerability, https://github.com/advisories/GHSA-6c8g-7p36-r338
C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithPluginKernelMemory\10.15 RAGWithPluginKernelMemory.csproj : warning NU1903: Package 'Snappier' 1.0.0 has a known high severity vulnerability, https://github.com/advisories/GHSA-pggp-6c3x-2xmx"
"RAGWithServerlessKernelMemory\10.14 RAGWithServerlessKernelMemory.csproj","TimedOut",,"12,1","C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithServerlessKernelMemory\10.14 RAGWithServerlessKernelMemory.csproj : warning NU1902: Package 'SharpCompress' 0.30.1 has a known moderate severity vulnerability, https://github.com/advisories/GHSA-6c8g-7p36-r338
C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithServerlessKernelMemory\10.14 RAGWithServerlessKernelMemory.csproj : warning NU1903: Package 'Snappier' 1.0.0 has a known high severity vulnerability, https://github.com/advisories/GHSA-pggp-6c3x-2xmx
Unhandled exception. Microsoft.KernelMemory.KernelMemoryException: File not found: 'Data/weather1.txt'
   at Microsoft.KernelMemory.Models.FileCollection.AddFile(String filePath)
   at Microsoft.KernelMemory.Document.AddFile(String filePath)
   at Microsoft.KernelMemory.MemoryServerless.ImportDocumentAsync(String filePath, String documentId, TagCollection tags, String index, IEnumerable`1 steps, IContext context, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithServerlessKernelMemory\Program.cs:line 22
   at Program.<Main>(String[] args)"
"RAGWithTextFile\10.03 RAGWithTextFile.csproj","TimedOut",,"12,1","Unhandled exception. System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Data'.
   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path, Boolean ignoreNotFound)
   at System.IO.Enumeration.FileSystemEnumerator`1.Init()
   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory, Boolean isNormalized, EnumerationOptions options, String expression)
   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory, FindTransform transform, EnumerationOptions options, Boolean isNormalized, String expression)
   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory, String expression, EnumerationOptions options)
   at System.IO.Directory.InternalEnumeratePaths(String path, String searchPattern, SearchTarget searchTarget, EnumerationOptions enumerationOptions)
   at System.IO.Directory.GetFiles(String path, String searchPattern, EnumerationOptions enumerationOptions)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\RAGWithTextFile\Program.cs:line 21
   at Program.<Main>(String[] args)"
"TextGenerationWithKernelArguments\2.1a TextGenerationWithKernelArguments.csproj","Passed","0","10,1","turn right
forward
turn left
forward
turn left
forward
turn right"
"RAGWithTextFilePlugin\10.05 RAGWithTextFilePlugin.csproj","TimedOut",,"12,1","Assistant > Ask me about weather details between 1 and 10 June. (hit 'enter' key to end the session)
User > Assistant > 
I don't have enough information to answer this question.
User > Assistant >"
"TextGeneration\2.1 TextGeneration.csproj","TimedOut",,"12,1",""
